,Neighborhood,Chiropractor,Dentist,Doctor's Office,Family Medicine Doctor,General Surgeon,Health and Medicine,Home Health Care Service,Hospital,Internal Medicine Doctor,Medical Center,Medical Lab,Nursing Home,Nutritionist,Ophthalmologist,Optometrist,Pediatrician,Physical Therapy Clinic,Psychiatrist,Urgent Care Center,Veterinarian
114,Chelsea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Downtown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,East Village,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Downtown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Civic Center,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Chinatown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Downtown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Downtown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Manhattan Valley,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Harlem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Bellevue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,City Hall Area,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Downtown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Astoria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Elmhurst,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Jackson Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Elmhurst,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Hamilton Beach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,LeFrak City,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
